url,name
https://developer.apple.com/documentation/LivePhotosKitJS,LivePhotosKit JS
https://developer.apple.com/documentation/LocalAuthentication,Local Authentication
https://developer.apple.com/documentation/LocalAuthenticationEmbeddedUI,Local Authentication Embedded UI
https://developer.apple.com/documentation/LockedCameraCapture,LockedCameraCapture
https://developer.apple.com/documentation/UIKit/mac-catalyst,Mac Catalyst
https://developer.apple.com/documentation/macos-release-notes,macOS Release Notes
https://developer.apple.com/documentation/MailKit,MailKit
https://developer.apple.com/documentation/ManagedAppDistribution,Managed App Distribution
https://developer.apple.com/documentation/ManagedSettings,Managed Settings
https://developer.apple.com/documentation/ManagedSettingsUI,Managed Settings UI
https://developer.apple.com/documentation/ManagedApp,ManagedApp
https://developer.apple.com/documentation/MapKit,MapKit
https://developer.apple.com/documentation/MapKitJS,MapKit JS
https://developer.apple.com/documentation/Snapshots,Maps Web Snapshots
https://developer.apple.com/documentation/MarketplaceKit,MarketplaceKit
https://developer.apple.com/documentation/Matter,Matter
https://developer.apple.com/documentation/MatterSupport,MatterSupport
https://developer.apple.com/documentation/MediaAccessibility,Media Accessibility
https://developer.apple.com/documentation/MediaLibrary,Media Library
https://developer.apple.com/documentation/MediaPlayer,Media Player
https://developer.apple.com/documentation/MediaSetup,Media Setup
https://developer.apple.com/documentation/MediaToolbox,Media Toolbox
https://developer.apple.com/documentation/MediaExtension,MediaExtension
https://developer.apple.com/documentation/MessageUI,Message UI
https://developer.apple.com/documentation/Messages,Messages
https://developer.apple.com/documentation/Metal,Metal
https://developer.apple.com/documentation/MetalPerformanceShaders,Metal Performance Shaders
https://developer.apple.com/documentation/MetalPerformanceShadersGraph,Metal Performance Shaders Graph
https://developer.apple.com/documentation/MetalFX,MetalFX
https://developer.apple.com/documentation/MetalKit,MetalKit
https://developer.apple.com/documentation/MetricKit,MetricKit
https://developer.apple.com/documentation/MIDIDriverKit,MIDIDriverKit
https://developer.apple.com/documentation/MLCompute,ML Compute
https://developer.apple.com/documentation/ModelIO,Model I/O
https://developer.apple.com/documentation/MultipeerConnectivity,Multipeer Connectivity
https://developer.apple.com/documentation/MusicKit,MusicKit
https://developer.apple.com/documentation/NaturalLanguage,Natural Language
https://developer.apple.com/documentation/NearbyInteraction,Nearby Interaction
https://developer.apple.com/documentation/Network,Network
https://developer.apple.com/documentation/NetworkExtension,Network Extension
https://developer.apple.com/documentation/NetworkingDriverKit,NetworkingDriverKit
https://developer.apple.com/documentation/NotaryAPI,Notary API
https://developer.apple.com/documentation/NotificationCenter,Notification Center
https://developer.apple.com/documentation/ObjectiveC,Objective-C Runtime
https://developer.apple.com/documentation/Observation,Observation
https://developer.apple.com/documentation/OpenDirectory,Open Directory
https://developer.apple.com/documentation/OpenGLES,OpenGL ES
https://developer.apple.com/documentation/os,os
https://developer.apple.com/documentation/OSLog,OSLog
https://developer.apple.com/documentation/PackageDescription,PackageDescription
https://developer.apple.com/documentation/PaperKit,PaperKit
https://developer.apple.com/documentation/ParavirtualizedGraphics,Paravirtualized Graphics
https://developer.apple.com/documentation/PassKit,PassKit (Apple Pay and Wallet)
https://developer.apple.com/documentation/PCIDriverKit,PCIDriverKit
https://developer.apple.com/documentation/PDFKit,PDFKit
https://developer.apple.com/documentation/PencilKit,PencilKit
https://developer.apple.com/documentation/PermissionKit,PermissionKit
https://developer.apple.com/documentation/PHASE,PHASE
https://developer.apple.com/documentation/PhotoKit,PhotoKit
https://developer.apple.com/documentation/playgroundbluetooth,Playground Bluetooth
https://developer.apple.com/documentation/playgroundsupport,Playground Support
https://developer.apple.com/documentation/PreferencePanes,Preference Panes
https://developer.apple.com/documentation/professional_video_applications,Professional Video Applications
https://developer.apple.com/documentation/ProximityReader,ProximityReader
https://developer.apple.com/documentation/PushToTalk,Push to Talk
https://developer.apple.com/documentation/PushKit,PushKit
https://developer.apple.com/documentation/Quartz,Quartz
https://developer.apple.com/documentation/QuickLook,Quick Look
https://developer.apple.com/documentation/QuickLookThumbnailing,Quick Look Thumbnailing
https://developer.apple.com/documentation/QuickLookUI,QuickLook UI
https://developer.apple.com/documentation/quicktime-file-format,QuickTime File Format
https://developer.apple.com/documentation/RealityComposerPro,Reality Composer Pro
https://developer.apple.com/documentation/RealityKit,RealityKit
https://developer.apple.com/documentation/RegexBuilder,RegexBuilder
https://developer.apple.com/documentation/RelevanceKit,RelevanceKit
https://developer.apple.com/documentation/ReplayKit,ReplayKit
https://developer.apple.com/documentation/RetentionMessaging,Retention Messaging API
https://developer.apple.com/documentation/RoomPlan,RoomPlan
https://developer.apple.com/documentation/RosterAPI,Roster API
https://developer.apple.com/documentation/SafariServices/safari-app-extensions,Safari app extensions
https://developer.apple.com/documentation/safari-developer-tools,Safari Developer Features
https://developer.apple.com/documentation/safari-release-notes,Safari Release Notes
https://developer.apple.com/documentation/SafariServices,Safari Services
https://developer.apple.com/documentation/SafetyKit,SafetyKit
https://developer.apple.com/documentation/SampleCode,Sample Code Library
https://developer.apple.com/documentation/SceneKit,SceneKit
https://developer.apple.com/documentation/ScreenSaver,Screen Saver
https://developer.apple.com/documentation/ScreenTime,Screen Time
https://developer.apple.com/documentation/ScreenCaptureKit,ScreenCaptureKit
https://developer.apple.com/documentation/ScriptingBridge,Scripting Bridge
https://developer.apple.com/documentation/SCSIControllerDriverKit,SCSIControllerDriverKit
https://developer.apple.com/documentation/SCSIPeripheralsDriverKit,SCSIPeripheralsDriverKit
https://developer.apple.com/documentation/SecureElementCredential,SecureElementCredential
https://developer.apple.com/documentation/Security,Security
https://developer.apple.com/documentation/SecurityFoundation,Security Foundation
https://developer.apple.com/documentation/SecurityInterface,Security Interface
https://developer.apple.com/documentation/SensitiveContentAnalysis,SensitiveContentAnalysis
https://developer.apple.com/documentation/SensorKit,SensorKit
https://developer.apple.com/documentation/SerialDriverKit,SerialDriverKit
https://developer.apple.com/documentation/ServiceManagement,Service Management
https://developer.apple.com/documentation/ServicesAccountLinking,ServicesAccountLinking
https://developer.apple.com/documentation/ShaderGraph,ShaderGraph
https://developer.apple.com/documentation/SharedWithYou,Shared with You
https://developer.apple.com/documentation/ShazamKit,ShazamKit
https://developer.apple.com/documentation/SigninwithApple,Sign in with Apple
https://developer.apple.com/documentation/Accelerate/simd-library,simd
https://developer.apple.com/documentation/SiriEventSuggestionsMarkup,Siri Event Suggestions Markup
https://developer.apple.com/documentation/SiriKit,SiriKit
